# TF	Target	Type	Reference
JUN	ABCB1	Activation	10369069
JUN	ACTA1	Unknown	1460048
JUN	ALOX12	Unknown	14518567
JUN	APOC3	Activation	9760243
JUN	APOM	Unknown	21454713
JUN	APP	Unknown	8015372
JUN	AR	Repression	20148354
JUN	AR	Unknown	16732317
JUN	ATF3	Activation	8576171
JUN	BATF3	Unknown	12087103
JUN	BCL2L1	Unknown	16911523
JUN	BECN1	Activation	19060920
JUN	BEX2	Activation	21384344
JUN	BRCA1	Activation	17434164
JUN	CA2	Unknown	11382925
JUN	CCK	Activation	1360635
JUN	CCL2	Activation	18443042
JUN	CCL5	Unknown	11413310
JUN	CCND1	Activation	10500157;16393119;19435822;20220142
JUN	CCND1	Repression	21474819
JUN	CCND1	Unknown	14672732
JUN	CD82	Activation	15580298
JUN	CDK5R1	Unknown	22550165
JUN	CDKN1A	Repression	18094076
JUN	CDKN1A	Unknown	21278055
JUN	CREM	Activation	21757709
JUN	CSF1	Activation	7642615
JUN	CSF2	Unknown	15840658
JUN	CSTA	Unknown	9651321
JUN	CTGF	Repression	20711235
JUN	CTSL	Activation	9038212
JUN	CXCL8	Activation	16701870;18684922
JUN	CXCL8	Unknown	11120852;12218154;12643600;12716652;14670967
JUN	CYP11A1	Unknown	11057754
JUN	CYP19A1	Repression	16810058
JUN	CYP1A2	Unknown	12135113
JUN	CYP2J2	Unknown	12737630;16008525
JUN	DCN	Repression	8798756
JUN	DDIT3	Activation	22622069
JUN	DDX21	Unknown	22550165
JUN	EDN1	Unknown	12208352
JUN	EGFR	Activation	10803405
JUN	ELN	Unknown	12135766
JUN	ETS1	Activation	1945412
JUN	ETS2	Unknown	22354960
JUN	EZH2	Unknown	23116973
JUN	EZR	Activation	19164283
JUN	F3	Unknown	11057875
JUN	FAS	Activation	10903433
JUN	FAS	Unknown	19670268
JUN	FASLG	Unknown	14563113;19670268;9710625
JUN	FGF7	Unknown	15840658
JUN	VEGFD	Unknown	19136250
JUN	FOSL1	Activation	13679379;15806162
JUN	GCLC	Unknown	11233143;11912197;16054171
JUN	GJA1	Activation	10421804
JUN	GSTP1	Unknown	8206948
JUN	HEY1	Activation	15314183
JUN	IBSP	Unknown	23485603;9084640
JUN	IFNB1	Unknown	10848607
JUN	IFNG	Activation	12626576;18641343;20006311;20304822
JUN	IFNG	Unknown	12836278;7759501
JUN	IL12A	Unknown	22904313
JUN	IL12B	Activation	14688340
JUN	IL1A	Unknown	8688489
JUN	IL1B	Unknown	11306276
JUN	IL2	Repression	7642615
JUN	IL2	Unknown	8468462
JUN	IL23A	Unknown	17569750;22904313
JUN	IL24	Unknown	21357535
JUN	IL3	Activation	7642615
JUN	IL5RA	Unknown	9742933
JUN	IL6	Activation	20225236
JUN	IL6	Unknown	10542237;11120852
JUN	ITGAX	Unknown	8649405;8649434
JUN	ITGB8	Unknown	21878622
JUN	JUN	Activation	9502786
JUN	JUN	Unknown	19671687
JUN	KRT16	Activation	12954631;16214953
JUN	LBP	Repression	15114678
JUN	LDHA	Activation	9723176
JUN	LGALS3	Activation	16285957
JUN	LOR	Activation	12200429
JUN	MAP3K1	Unknown	9710625
JUN	MAPK8	Activation	19324081
JUN	MAPK8	Unknown	16397260
JUN	MAT2A	Activation	14530285
JUN	MEF2D	Activation	12054430
JUN	MELTF	Unknown	8836133
JUN	MGMT	Unknown	9731508
JUN	MGP	Unknown	11425864
JUN	MMP1	Activation	19028685;19708869;20225236
JUN	MMP1	Unknown	9334186
JUN	MMP12	Unknown	11444842
JUN	MMP13	Activation	20338993
JUN	MMP2	Activation	15777790
JUN	MMP20	Unknown	17611094
JUN	MMP3	Activation	1429874;15777790
JUN	MMP3	Unknown	9334186
JUN	MMP7	Activation	11158322;19426720
JUN	MMP7	Unknown	11774399
JUN	MMP9	Activation	15777790;18809380
JUN	MMP9	Repression	21474819
JUN	MMP9	Unknown	10935492;11774399
JUN	MSR1	Activation	8114743
JUN	MSR1	Unknown	9743233
JUN	MYB	Unknown	1527086
JUN	MYC	Repression	2498162
JUN	NAMPT	Activation	16701870
JUN	NEFL	Activation	8180132
JUN	NEIL1	Activation	16118226
JUN	NFKB2	Unknown	7541912
JUN	NGF	Unknown	2111020
JUN	NOS2	Activation	12788789
JUN	NOS2	Repression	9776360
JUN	NOS2	Unknown	14962367
JUN	NOS3	Unknown	11382920
JUN	NOX5	Activation	22348975
JUN	NPY	Unknown	8036020
JUN	NQO1	Unknown	11035254;8004128
JUN	NTS	Unknown	7791794
JUN	OPRM1	Unknown	18523482
JUN	OXTR	Unknown	10218980
JUN	PCK2	Unknown	1325459
JUN	PDHA1	Unknown	8476854
JUN	PDK1	Unknown	19910471
JUN	PENK	Unknown	7935470
JUN	PGR	Repression	14684847
JUN	PLAT	Activation	1963081
JUN	PLAT	Unknown	9851700
JUN	PLAU	Unknown	10454570;11774399
JUN	PLAUR	Activation	16893520
JUN	PLAUR	Unknown	10471035;11234878;8761947
JUN	POLD2	Unknown	10978529
JUN	PPARA	Unknown	10542237
JUN	PPARD	Activation	18625220
JUN	PTGS2	Activation	15772294;18294142;9620167
JUN	PTGS2	Unknown	11278336;12057991;16339564;17556653;20237399
JUN	PTN	Activation	16199533
JUN	RARA	Repression	9377582
JUN	RARB	Activation	9377582
JUN	RARG	Repression	9377582
JUN	RELB	Unknown	15596805
JUN	REN	Unknown	9690204
JUN	RHOB	Activation	21565167
JUN	RUNX2	Unknown	11604227
JUN	SLC19A1	Unknown	11078737
JUN	SMAD7	Activation	15579469
JUN	SMN1	Repression	15550677
JUN	SOD2	Unknown	15330761
JUN	SOX7	Activation	22171135
JUN	SPI1	Activation	9988737
JUN	SPRR1B	Activation	11792626;12682075
JUN	SPRR3	Unknown	9889002
JUN	STAR	Unknown	19150388
JUN	STMN1	Activation	15474303
JUN	SYK	Unknown	22354960
JUN	TERT	Repression	20842112
JUN	TFF1	Unknown	12021387
JUN	TIMP2	Unknown	8810321
JUN	TNC	Activation	9154819
JUN	TNF	Activation	10318823;10688670;10748079;10913190
JUN	TNF	Unknown	7896795;9566900
JUN	TNFRSF10A	Unknown	12082627
JUN	TNFRSF1B	Activation	9743209
JUN	TP53	Repression	22859294
JUN	TP53	Unknown	10348347
JUN	TP73	Unknown	15302867
JUN	TXN	Unknown	12414792
JUN	UGT2B15	Activation	19487245
JUN	VCAM1	Activation	16271621
JUN	VDR	Activation	15930183
JUN	VEGFA	Repression	11731421
