# TF	Target	Type	Reference
HMGA1	BRCA1	Repression	12640109;16007157
HMGA1	CD44	Activation	15901130
HMGA1	CDC25A	Activation	22249617
HMGA1	CDH1	Repression	22276142
HMGA1	CRYAB	Unknown	17723105
HMGA1	CXCL1	Unknown	11112786;7479086
HMGA1	IL1B	Unknown	15901130
HMGA1	INSR	Activation	16707431
HMGA1	INSR	Repression	17434141
HMGA1	KL	Activation	15378028
HMGA1	POU1F1	Activation	22199144
HMGA1	PTGS2	Activation	22898640
HMGA1	RAG2	Unknown	15713121
HMGA1	SLC2A3	Activation	22706202
HMGA1	SP1	Unknown	20335021
HMGA1	TP53	Unknown	20335021
HMGA1	TWIST1	Activation	22276142
HMGA1	XPA	Repression	17616660
