# TF	Target	Type	Reference
FOS	ACTA1	Unknown	1460048
FOS	BATF3	Unknown	12087103
FOS	BCL2L1	Unknown	16911523
FOS	CASP9	Activation	20188076
FOS	CCK	Activation	1360635
FOS	CCK	Unknown	7693011
FOS	CCND1	Repression	20188076;21474819
FOS	CD40LG	Unknown	11160303
FOS	CLU	Repression	10406964
FOS	CREM	Activation	21757709
FOS	CRP	Unknown	18292576
FOS	CSTA	Unknown	9651321
FOS	CXCL8	Unknown	12218154
FOS	CYP1A2	Unknown	12135113
FOS	DDIT3	Activation	20188076
FOS	ERCC4	Activation	20976523
FOS	EZR	Activation	19164283
FOS	FAS	Activation	10903433
FOS	FGFBP1	Unknown	10753873
FOS	VEGFD	Unknown	19136250
FOS	FMO4	Activation	20188076
FOS	FOS	Repression	2498646
FOS	FOXA1	Unknown	22577344
FOS	GSTP1	Unknown	8206948
FOS	HSPH1	Activation	20188076
FOS	IL1A	Unknown	8688489
FOS	LRIG2	Unknown	22721266
FOS	MELTF	Unknown	8836133
FOS	MMP1	Activation	19028685
FOS	MMP1	Unknown	9334186
FOS	MMP3	Unknown	9334186
FOS	MMP7	Unknown	11774399
FOS	MMP9	Activation	18809380;21238464
FOS	MMP9	Repression	21474819
FOS	MMP9	Unknown	10935492;11774399
FOS	MYC	Repression	2498162
FOS	NEFL	Activation	8180132
FOS	NFKB1	Repression	20188076
FOS	NGF	Unknown	2111020
FOS	NOS2	Activation	12788789
FOS	NOS2	Repression	9776360
FOS	NPPA	Unknown	1530876
FOS	NPY	Unknown	8036020
FOS	NQO1	Unknown	8004128
FOS	NTF3	Unknown	7733919
FOS	NTS	Unknown	7791794
FOS	OXTR	Unknown	10218980
FOS	PCK2	Unknown	1325459
FOS	PDHA1	Unknown	8476854
FOS	PGR	Unknown	14684847
FOS	PLAU	Unknown	11774399
FOS	PLAUR	Unknown	10471035
FOS	PTGS2	Activation	9620167
FOS	PTGS2	Unknown	11278336;12057991;17556653
FOS	SLC10A2	Repression	12454857
FOS	SMAD4	Unknown	11854297
FOS	SMAD7	Activation	15579469
FOS	SOX7	Activation	22171135
FOS	SPI1	Repression	9988737
FOS	SPRR3	Unknown	9889002
FOS	SRR	Activation	15681805
FOS	STAR	Unknown	19150388
FOS	TP53	Unknown	10348347
